"","name","DiffBind_Mean_FC","TOBIAS_Mean_FC"
"55","HES7",-0.0942614893603502,-0.02784
"174","TGIF1",-0.0111769073772207,-0.02796
"207","ZNF343",-0.200561581793632,-0.02835
"109","NR2C1",-0.328142970169922,-0.02838
"154","SP1",-0.0019819079966795,-0.02997
"39","FIGLA",-0.492218324741567,-0.0304675
"95","NFIC",-0.178635548746961,-0.03066
"149","SNAI1",-0.274010202327073,-0.03202
"79","MBD2",-0.196178096561732,-0.03328
"97","NFKB1",-0.146779140361339,-0.03401
"70","KLF11",-0.152266118796364,-0.0347
"14","CAMTA2",-0.0812332507551353,-0.0349
"223","ZNF768",-0.0374329944420964,-0.03586
"108","NR1I2",-0.11065367092845,-0.03731
"202","ZNF263",-0.183043892084142,-0.03771
"184","ZBTB12",-0.44551509514672,-0.03917
"18","CTCFL",-0.103924226325716,-0.04044
"122","PLAG1",-0.415295912215875,-0.04168
"165","TCF4",-0.269568740468549,-0.04281
"17","CREB3L1",-0.0171216626799375,-0.04397
"137","REST",-0.075161379411965,-0.04464
"192","ZBTB7C",-0.3441283565515,-0.04508
"190","ZBTB6",-0.180494623324081,-0.04534
"215","ZNF669",-0.0249190848340901,-0.04578
"206","ZNF341",-0.0194514887203572,-0.04611
"73","KLF2",-0.129022972022279,-0.04613
"100","NHLH2",-0.203128720801275,-0.04696
"156","SP8",-0.260563512668733,-0.0471
"26","EGR4",-0.0686335831448636,-0.04837
"24","EGR1",-0.349649004239372,-0.04935
"68","KLF1",-0.3175973482048,-0.0498
"98","NFKB2",-0.13422961342504,-0.05007
"171","TFAP2B",-0.0754271241037219,-0.0509733333333333
"193","ZIC4",-0.444998289399267,-0.05128
"205","ZNF331",-0.0827210316702774,-0.05137
"101","NKX2-2",-0.542895417446799,-0.05175
"74","KLF4",-0.270903822036473,-0.054
"183","ZBED4",-0.136273656956874,-0.05629
"78","MAZ",-0.121112452029804,-0.05647
"175","THAP1",-0.136973414744458,-0.05789
"186","ZBTB24",-0.0188013128687225,-0.0579
"191","ZBTB7B",-0.0927861402483291,-0.05813
"147","SMAD2",-0.0938947346842351,-0.0619
"130","PRDM9",-0.380008722669523,-0.06397
"135","RELA",-0.0162851365139274,-0.06595
"213","ZNF574",-0.0916217906951421,-0.06765
"182","ZBED2",-0.0338250481272122,-0.06867
"212","ZNF549",-0.114132614337027,-0.06979
"219","ZNF692",-0.372128130497512,-0.07332
"203","ZNF281",-0.153948481748735,-0.07535
"194","ZKSCAN5",-0.104666017232103,-0.08145
"110","NR2F6",-0.826379810403125,-0.08535
"217","ZNF682",-0.0543510494006455,-0.09253
"220","ZNF740",-0.154409195622886,-0.11455
"180","VEZF1",-0.163286901969399,-0.11977
