"","GREAT_SYMBOL","CD4_avgLogFC","CD8_avgLogFC"
"1","ADHFE1",0.746600410715517,0.734206595832635
"2","AGO2",0.470882679372097,0.574398467659019
"3","ATXN1",0.901964037664052,2.16819838574814
"4","BPGM",0.598113890394592,0.571699479679689
"5","CC2D1B",0.436527725604641,1.00704100843985
"6","CERK",0.529873203409553,0.919378413346518
"7","CHRM3",0.586871537166601,1.20705920053426
"8","CXXC4",0.801546497266413,1.67104454457408
"9","DTHD1",1.28533452851236,1.49866125263999
"10","DYNLRB2",1.01571752844457,0.451908738125843
"11","EPHA3",1.94451370799094,1.017184598792
"12","FOXN3",1.0923208542223,0.837849373075753
"13","FSHR",1.0749255534638,1.52233492848197
"14","GALNT17",1.17707980698624,1.35040948399696
"15","GAP43",1.58202182835005,1.3812229659817
"16","GRM3",1.08231376617817,1.97903384095948
"17","HCN1",1.13215226000791,1.08827291270856
"18","HDAC4",0.802207061991323,1.2006694627851
"19","MAN1A1",0.796287109278635,1.15246680173718
"20","MYC",0.567808474353645,0.972837817155185
"21","OPRM1",1.07149724901807,1.2348440911657
"22","PARP16",0.388901077158596,1.07943300804587
"23","PLCL1",0.409570384909447,1.45355075590914
"24","PLPP7",0.480289766482704,0.807260018597411
"25","PRPF38A",0.951833969023257,0.444785720165616
"26","RNF144A",0.571081734385838,1.08515801735399
"27","SCML4",0.395352514541861,0.71813847374421
"28","SLC25A33",0.500290277895226,0.575570141192244
"29","SLITRK5",1.33303206041872,1.13516901290481
"30","TMEM159",0.458302587132012,0.571261066776517
"31","TMEM26",1.6302760459004,1.98018009096015
"32","TRHDE",0.93881657556226,1.23088910608372
"33","ZNF471",0.7069104293086,0.900222395775021
"34","ZNF888",0.459223826925483,0.630410657512408
