"","name","CD4_avgLogFC","CD8_avgLogFC"
"173","MYB56",0.05754,0.09172
"174","MYB59",0.07093,0.07053
"175","MYB80",0.06185,0.06223
"176","MYB81",0.10107,0.0754
"177","MYB93",0.06084,0.06043
"178","NAC005",0.08888,0.05324
"179","NAC010",0.08422,0.07825
"180","NAC011",0.05491,0.05825
"181","NAC020",0.06397,0.053
"182","NAC031",0.07035,0.08476
"183","NAC038",0.08722,0.08054
"184","NAC043",0.08347,0.05342
"185","NAC058",0.07222,0.06986
"186","NAC087",0.08479,0.06796
"187","NEUROG1",0.07534,0.05758
"188","NFIL3",0.09668,0.0663
"189","NOTO",0.07807,0.08435
"190","NTL9",0.12718,0.05138
"191","OLIG1",0.08273,0.06238
"192","OLIG2",0.08285,0.08484
"193","OLIG3",0.08678,0.07901
"194","ONECUT1",0.11204,0.12225
"195","ONECUT2",0.06113,0.12043
"196","ONECUT3",0.0889,0.10891
"197","OS02G0104500",0.07887,0.05238
"198","PAX3",0.08569,0.11838
"199","PAX4",0.08947,0.05423
"200","PAX6",0.0629,0.0705
"201","PBX2",0.11131,0.10316
"202","PDX1",0.09264,0.08463
"203","PHDP",0.10361,0.08288
"204","PHL1",0.08336,0.0775
"205","PHL11",0.08679,0.10652
"206","PHL4",0.07869,0.11052
"207","PHL7",0.07682,0.08377
"208","PHO2",0.15188,0.08965
"209","PHOX2A",0.11722,0.07645
"210","PHOX2B",0.1182,0.08929
"211","PITX2",0.05329,0.08337
"212","POU1F1",0.10613,0.07471
"213","POU2F1",0.111995,0.08066
"214","POU2F2",0.10902,0.07518
"215","POU2F3",0.08812,0.06247
"216","POU3F1",0.12416,0.08537
"217","POU3F2",0.10888,0.09097
"218","POU3F3",0.11492,0.09055
"219","POU3F4",0.10796,0.09314
"220","POU4F1",0.13554,0.10051
"221","POU4F2",0.11395,0.10011
"222","POU4F3",0.12596,0.11477
"223","POU5F1",0.08853,0.05801
"224","POU5F1B",0.11339,0.07331
"225","POU6F1",0.08926,0.08272
"226","POU6F2",0.08392,0.05424
"227","PROP1",0.11752,0.08081
"228","PRRX1",0.09264,0.08463
"229","PRRX2",0.07855,0.06366
"230","RAX",0.09264,0.08463
