"","output_prefix","name","motif_id","cluster","total_tfbs","CD8_Good_mean_score","CD8_Good_bound","CD8_Poor_mean_score","CD8_Poor_bound","CD8_Good_CD8_Poor_change","CD8_Good_CD8_Poor_pvalue","CD8_Good_CD8_Poor_highlighted","Significance","negLog10Pval","negLog10Pval_capped","Capped"
"1","PAX6_MA0069.1","PAX6","MA0069.1","C_PAX6",4938,0.45608,136,0.51142,172,0.0705,1.10081e-73,"False","Up_CD8_Good",72.9582876338641,5,"Capped"
"2","RORA_MA0071.1","RORA","MA0071.1","C_RORA",7584,0.43379,197,0.53593,225,-0.01991,1.49266e-31,"False","Not Significant",30.8260391051616,5,"Capped"
"3","RXRAVDR_MA0074.1","RXRA::VDR","MA0074.1","C_RXRA::VDR",4840,0.56065,223,0.66684,252,-0.004,0.000447789,"False","Not Significant",3.34892657913121,3.34892657913121,"Not Capped"
"4","REL_MA0101.1","REL","MA0101.1","C_REL",7445,0.62192,478,0.75621,612,-0.04663,1.42944e-63,"False","Not Significant",62.8448340692083,5,"Capped"
"5","RELA_MA0107.1","RELA","MA0107.1","C_REL",9117,0.62481,584,0.77291,742,-0.06595,5.4046e-78,"True","Up_CD8_Poor",77.2672364431022,5,"Capped"
"6","NR1H2RXRA_MA0115.1","NR1H2::RXRA","MA0115.1","C_NR1H2::RXRA",7523,0.49219,277,0.58449,317,0.00842,1.20913e-10,"False","Not Significant",9.91752700331832,5,"Capped"
"7","NFICTLX1_MA0119.1","NFIC::TLX1","MA0119.1","C_NFIB",8105,0.53909,422,0.66033,477,-0.03013,4.41437e-43,"False","Not Significant",42.3551312683144,5,"Capped"
"8","ZNF354C_MA0130.1","ZNF354C","MA0130.1","C_ZNF354C",15330,0.47262,483,0.56929,543,-0.00119,0.0117109,"False","Not Significant",1.93140972747127,1.93140972747127,"Not Capped"
"9","INSM1_MA0155.1","INSM1","MA0155.1","C_INSM1",14275,0.71975,1199,0.86662,1441,-0.05486,3.3088e-83,"False","Up_CD8_Poor",82.4803294829222,5,"Capped"
"10","RARARXRA_MA0159.1","RARA::RXRA","MA0159.1","C_RARA::RXRA",8671,0.5506,382,0.66611,429,-0.02912,8.10896e-50,"False","Not Significant",49.0910348418707,5,"Capped"
"11","PLAG1_MA0163.1","PLAG1","MA0163.1","C_PLAG1",16838,0.81653,1831,0.96159,2164,-0.04168,1.06243e-76,"False","Not Significant",75.9736996745626,5,"Capped"
"12","DUX4_MA0468.1","DUX4","MA0468.1","C_DUX4",10593,0.37792,246,0.43695,279,0.0527,1.50318e-76,"False","Up_CD8_Good",75.8229890112121,5,"Capped"
"13","ESR2_MA0258.2","ESR2","MA0258.2","C_ESR2",9696,0.53801,395,0.66612,479,-0.04694,1.6543e-67,"False","Not Significant",66.7813857302549,5,"Capped"
"14","SREBF1_MA0595.1","SREBF1","MA0595.1","C_SREBF1",8826,0.5485,495,0.66554,571,-0.03032,7.82125e-49,"False","Not Significant",48.1067238320144,5,"Capped"
"15","SREBF2_MA0596.1","SREBF2","MA0596.1","C_SREBF1",8841,0.50145,356,0.63518,448,-0.0464,5.21534e-67,"False","Not Significant",66.2827173736592,5,"Capped"
"16","KLF5_MA0599.1","KLF5","MA0599.1","C_KLF5",44017,1.11364,10381,1.26125,11725,-0.03083,1.44814e-80,"False","Not Significant",79.8391894503707,5,"Capped"
"17","FOXG1_MA0613.1","FOXG1","MA0613.1","C_FKH1",12549,0.42718,326,0.49196,358,0.04539,1.23612e-72,"False","Not Significant",71.9079393667811,5,"Capped"
"18","BHLHE41_MA0636.1","BHLHE41","MA0636.1","C_ARNT2",2407,1.10494,641,1.18631,654,0.04732,5.87258e-39,"False","Not Significant",38.2311710582759,5,"Capped"
"19","ELF4_MA0641.1","ELF4","MA0641.1","C_ELF2",8575,1.00547,1797,1.12815,2022,-0.00786,1.20659e-07,"False","Not Significant",6.91844027835893,5,"Capped"
"20","FOXI1_MA0042.2","FOXI1","MA0042.2","C_FKH1",13930,0.42032,373,0.4867,401,0.04045,2.40497e-69,"False","Not Significant",68.6188903367187,5,"Capped"
"21","FOXL1_MA0033.2","FOXL1","MA0033.2","C_FKH1",10360,0.44099,306,0.50679,330,0.04265,6.16096e-67,"False","Not Significant",66.210351610852,5,"Capped"
"22","HNF1B_MA0153.2","HNF1B","MA0153.2","C_HNF1A",8227,0.3518,104,0.38661,99,0.09752,1.51443e-94,"True","Up_CD8_Good",93.8197507958315,5,"Capped"
"23","HSF1_MA0486.2","HSF1","MA0486.2","C_HSFA4A",7452,0.45314,215,0.52063,240,0.04919,5.04728e-60,"False","Not Significant",59.2969426019273,5,"Capped"
"24","IRF9_MA0653.1","IRF9","MA0653.1","C_IRF7",10145,0.51289,377,0.59264,453,0.03226,3.62552e-48,"False","Not Significant",47.4406296947662,5,"Capped"
"25","JDP2_MA0655.1","JDP2","MA0655.1","C_fos-1",5185,0.43083,138,0.52999,152,-0.00286,0.0753147,"False","Not Significant",1.12312024948571,1.12312024948571,"Not Capped"
"26","MEF2B_MA0660.1","MEF2B","MA0660.1","C_MEF2D",15547,0.3799,286,0.42646,262,0.06719,6.78535e-92,"False","Up_CD8_Good",91.1684277457716,5,"Capped"
"27","MLX_MA0663.1","MLX","MA0663.1","C_ARNT2",2853,0.99473,634,1.08011,669,0.03938,1.48181e-40,"False","Not Significant",39.8292074787059,5,"Capped"
"28","MSC_MA0665.1","MSC","MA0665.1","C_Tcf21",9518,0.51448,316,0.61422,372,-0.00371,0.00159698,"False","Not Significant",2.7967005227745,2.7967005227745,"Not Capped"
"29","MYF6_MA0667.1","MYF6","MA0667.1","C_MYF6",6525,0.49253,212,0.56607,232,0.03395,4.78257e-51,"False","Not Significant",50.3203386647108,5,"Capped"
"30","NEUROG2_MA0669.1","NEUROG2","MA0669.1","C_NEUROG2",4724,0.39632,77,0.47184,84,0.024,6.07059e-28,"False","Not Significant",27.2167690978387,5,"Capped"
"31","OLIG2_MA0678.1","OLIG2","MA0678.1","C_OLIG1",3567,0.39734,54,0.42878,53,0.08484,3.29134e-68,"False","Up_CD8_Good",67.4826272521642,5,"Capped"
"32","PAX4_MA0068.2","PAX4","MA0068.2","C_Arx",3188,0.39606,58,0.45378,63,0.05423,2.18331e-53,"False","Up_CD8_Good",52.6608845960678,5,"Capped"
"33","SRF_MA0083.3","SRF","MA0083.3","C_SRF",3508,0.44868,118,0.5227,153,0.03457,7.07776e-39,"False","Not Significant",38.1501041679549,5,"Capped"
"34","TBXT_MA0009.2","TBXT","MA0009.2","C_TBX19",3719,0.44923,95,0.53058,106,0.03002,3.02096e-40,"False","Not Significant",39.5198550251055,5,"Capped"
"35","TBX20_MA0689.1","TBX20","MA0689.1","C_TBX20",9765,0.47694,278,0.55551,330,0.02799,1.506e-50,"False","Not Significant",49.8221750281353,5,"Capped"
"36","TFAP4_MA0691.1","TFAP4","MA0691.1","C_TFAP4",7075,0.49948,253,0.60943,301,-0.02103,4.7504e-34,"False","Not Significant",33.323269819748,5,"Capped"
"37","ZIC1_MA0696.1","ZIC1","MA0696.1","C_ZIC5",9632,0.83873,1045,0.995,1296,-0.05032,3.94157e-71,"False","Not Significant",70.4043307562142,5,"Capped"
"38","PHOX2A_MA0713.1","PHOX2A","MA0713.1","C_PHOX2B",10029,0.31856,101,0.36455,105,0.07645,1.09122e-94,"False","Up_CD8_Good",93.9620876828177,5,"Capped"
"39","PROP1_MA0715.1","PROP1","MA0715.1","C_PHOX2B",12401,0.3081,88,0.35132,105,0.08081,4.84389e-101,"False","Up_CD8_Good",100.31480572782,5,"Capped"
"40","VENTX_MA0724.1","VENTX","MA0724.1","C_VENTX",3816,0.40023,100,0.46136,113,0.05315,2.11353e-56,"False","Up_CD8_Good",55.6749915833013,5,"Capped"
"41","RARA_MA0729.1","RARA","MA0729.1","C_RARA",10767,0.41636,243,0.49423,260,0.01388,3.5003e-23,"False","Not Significant",22.4558947320037,5,"Capped"
"42","RARA_MA0730.1","RARA","MA0730.1","C_Rarb",7338,0.54636,314,0.65689,344,-0.02008,1.42149e-28,"False","Not Significant",27.8472561911688,5,"Capped"
"43","BCL6B_MA0731.1","BCL6B","MA0731.1","C_BCL6B",8348,0.45786,273,0.54508,298,0.01425,9.77596e-28,"False","Not Significant",27.0098405840875,5,"Capped"
"44","EGR2_MA0472.2","EGR2","MA0472.2","C_EGR1",8514,1.11205,1811,1.25103,2097,-0.01826,2.66969e-29,"False","Not Significant",28.5735391652668,5,"Capped"
"45","GLIS2_MA0736.1","GLIS2","MA0736.1","C_GLIS2",6362,0.83231,663,1.01132,849,-0.09359,2.58332e-88,"True","Up_CD8_Poor",87.587821793739,5,"Capped"
"46","GLIS3_MA0737.1","GLIS3","MA0737.1","C_GLIS3",5389,0.66996,360,0.82282,447,-0.07561,2.01004e-74,"True","Up_CD8_Poor",73.6967952999892,5,"Capped"
"47","KLF16_MA0741.1","KLF16","MA0741.1","C_SP3",29969,1.14564,7499,1.29123,8415,-0.02778,9.61283e-67,"False","Not Significant",66.017148737987,5,"Capped"
"48","ZNF143_MA0088.2","ZNF143","MA0088.2","C_ZNF143",8157,0.64599,866,0.74382,925,0.00754,8.26125e-10,"False","Not Significant",9.08295423512151,5,"Capped"
"49","E2F7_MA0758.1","E2F7","MA0758.1","C_E2FD",6040,0.5777,334,0.63839,364,0.06471,4.66078e-70,"False","Up_CD8_Good",69.3315413963253,5,"Capped"
"50","HSF2_MA0770.1","HSF2","MA0770.1","C_HSFA4A",8139,0.434,218,0.51015,232,0.03417,2.5072e-49,"False","Not Significant",48.6008110208755,5,"Capped"
"51","HSF4_MA0771.1","HSF4","MA0771.1","C_HSFA4A",7133,0.47402,236,0.55046,262,0.03585,1.13983e-51,"False","Not Significant",50.9431599167051,5,"Capped"
"52","MEF2D_MA0773.1","MEF2D","MA0773.1","C_MEF2D",17770,0.35097,239,0.40469,232,0.05845,4.9138e-92,"False","Up_CD8_Good",91.3085825240187,5,"Capped"
"53","MEIS2_MA0774.1","MEIS2","MA0774.1","C_MEIS1",7409,0.56137,420,0.675,495,-0.01871,6.94465e-35,"False","Not Significant",34.1583496371688,5,"Capped"
"54","MYBL1_MA0776.1","MYBL1","MA0776.1","C_MYBL1",1319,0.62732,93,0.69403,94,0.06323,4.28522e-44,"False","Up_CD8_Good",43.3680268768135,5,"Capped"
"55","MYBL2_MA0777.1","MYBL2","MA0777.1","C_MYBL2",1375,0.58986,83,0.67912,106,0.0202,5.54252e-11,"False","Not Significant",10.2562927310734,5,"Capped"
"56","NFKB1_MA0105.4","NFKB1","MA0105.4","C_Rel",6737,0.59198,344,0.71978,445,-0.03401,2.45973e-47,"False","Not Significant",46.6091125619802,5,"Capped"
"57","PAX3_MA0780.1","PAX3","MA0780.1","C_Pax7",4943,0.36036,55,0.37728,59,0.11838,2.72519e-95,"True","Up_CD8_Good",94.5646032133598,5,"Capped"
"58","PKNOX2_MA0783.1","PKNOX2","MA0783.1","C_PKNOX2",8747,0.44142,227,0.55078,270,-0.02792,9.55045e-46,"False","Not Significant",45.0199761647605,5,"Capped"
"59","POU3F2_MA0787.1","POU3F2","MA0787.1","C_POU3F3",14915,0.36395,267,0.4021,264,0.09097,1.61063e-104,"False","Up_CD8_Good",103.79300421589,5,"Capped"
"60","POU3F3_MA0788.1","POU3F3","MA0788.1","C_POU3F3",18001,0.34205,236,0.37985,241,0.09055,3.72158e-105,"False","Up_CD8_Good",104.429272640871,5,"Capped"
"61","POU3F4_MA0789.1","POU3F4","MA0789.1","C_POU3F3",10934,0.40728,269,0.44332,269,0.09314,8.87853e-97,"False","Up_CD8_Good",96.051658933516,5,"Capped"
"62","POU5F1B_MA0792.1","POU5F1B","MA0792.1","C_POU3F3",11637,0.38538,274,0.4341,295,0.07331,4.96335e-88,"False","Up_CD8_Good",87.3042250986271,5,"Capped"
"63","PROX1_MA0794.1","PROX1","MA0794.1","C_PROX1",3383,0.56925,196,0.67759,219,-0.01565,5.37345e-12,"False","Not Significant",11.2697467878822,5,"Capped"
"64","SMAD3_MA0795.1","SMAD3","MA0795.1","C_SMAD3",2709,0.50133,105,0.582,121,0.02837,2.99937e-25,"False","Not Significant",24.5229699566991,5,"Capped"
"65","TGIF1_MA0796.1","TGIF1","MA0796.1","C_PKNOX2",7921,0.44182,205,0.55049,241,-0.02796,3.5715e-36,"False","Not Significant",35.4471493455394,5,"Capped"
"66","TGIF2_MA0797.1","TGIF2","MA0797.1","C_PKNOX2",7664,0.44536,206,0.5551,240,-0.03131,6.59372e-44,"False","Not Significant",43.1808694989637,5,"Capped"
"67","RUNX2_MA0511.2","RUNX2","MA0511.2","C_Bcl11B",6655,0.58069,327,0.68973,375,-0.00915,1.68567e-10,"False","Not Significant",9.77322744228931,5,"Capped"
"68","MGA_MA0801.1","MGA","MA0801.1","C_TBX4",8435,0.49988,325,0.59291,358,0.007,3.21601e-08,"False","Not Significant",7.49268260950752,5,"Capped"
"69","TBX15_MA0803.1","TBX15","MA0803.1","C_TBX4",11942,0.52581,497,0.63296,579,-0.01187,1.40891e-19,"False","Not Significant",18.8511167483752,5,"Capped"
"70","TBX1_MA0805.1","TBX1","MA0805.1","C_TBX4",9032,0.48799,325,0.58934,376,-0.00587,1.08761e-06,"False","Not Significant",5.9635268079576,5,"Capped"
"71","TBX4_MA0806.1","TBX4","MA0806.1","C_TBX4",6492,0.49272,264,0.5968,286,-0.01609,2.26696e-20,"False","Not Significant",19.6445561428345,5,"Capped"
"72","TBX5_MA0807.1","TBX5","MA0807.1","C_TBX4",11058,0.50814,446,0.62653,522,-0.03136,7.98015e-52,"False","Not Significant",51.0979889452959,5,"Capped"
"73","TEAD3_MA0808.1","TEAD3","MA0808.1","C_TEAD4",6513,0.45217,185,0.53324,210,0.01984,1.7521e-31,"False","Not Significant",30.7564411103775,5,"Capped"
"74","TFAP2B_MA0813.1","TFAP2B","MA0813.1","C_TFAP2C",8879,0.8498,1037,1.0075,1218,-0.06144,2.52972e-77,"True","Up_CD8_Poor",76.5969275456955,5,"Capped"
"75","TFAP2C_MA0815.1","TFAP2C","MA0815.1","C_TFAP2C",7872,0.87459,969,1.03556,1136,-0.06534,3.64528e-76,"True","Up_CD8_Poor",75.4382691071856,5,"Capped"
"76","HES7_MA0822.1","HES7","MA0822.1","C_BHLH104",3656,0.71468,350,0.84685,408,-0.02784,1.94246e-27,"False","Not Significant",26.71164791562,5,"Capped"
"77","HEY1_MA0823.1","HEY1","MA0823.1","C_BHLHE40",3484,0.88329,524,1.00647,604,-0.01195,4.48363e-12,"False","Not Significant",11.3483702336302,5,"Capped"
"78","OLIG1_MA0826.1","OLIG1","MA0826.1","C_OLIG1",3702,0.38545,46,0.42999,41,0.06238,4.90197e-61,"False","Up_CD8_Good",60.309629350953,5,"Capped"
"79","OLIG3_MA0827.1","OLIG3","MA0827.1","C_OLIG1",4090,0.3945,64,0.43187,62,0.07901,5.49938e-73,"False","Up_CD8_Good",72.2596862700979,5,"Capped"
"80","CEBPG_MA0838.1","CEBPG","MA0838.1","C_atf-2",2356,0.58732,168,0.668,174,0.02674,1.11158e-26,"False","Not Significant",25.9540592758275,5,"Capped"
"81","FOXB1_MA0845.1","FOXB1","MA0845.1","C_FOXC2",16719,0.34889,200,0.38921,232,0.09124,4.43871e-107,"True","Up_CD8_Good",106.352743228373,5,"Capped"
"82","FOXC1_MA0032.2","FOXC1","MA0032.2","C_FOXC2",19589,0.34648,227,0.39385,277,0.0793,2.65193e-101,"False","Up_CD8_Good",100.576437943697,5,"Capped"
"83","FOXO4_MA0848.1","FOXO4","MA0848.1","C_FKH1",10360,0.44099,306,0.50679,330,0.04265,6.16096e-67,"False","Not Significant",66.210351610852,5,"Capped"
"84","FOXO6_MA0849.1","FOXO6","MA0849.1","C_FKH1",10360,0.44099,306,0.50679,330,0.04265,6.16096e-67,"False","Not Significant",66.210351610852,5,"Capped"
"85","FOXP3_MA0850.1","FOXP3","MA0850.1","C_FKH1",10360,0.44099,306,0.50679,330,0.04265,6.16096e-67,"False","Not Significant",66.210351610852,5,"Capped"
"86","RXRB_MA0855.1","RXRB","MA0855.1","C_PPARD",8568,0.54987,400,0.64121,468,0.01438,2.48256e-25,"False","Not Significant",24.6051002464161,5,"Capped"
"87","RXRG_MA0856.1","RXRG","MA0856.1","C_PPARD",8139,0.54409,372,0.63707,433,0.01003,5.13501e-10,"False","Not Significant",9.28945870631391,5,"Capped"
"88","TP63_MA0525.2","TP63","MA0525.2","C_TP63",3654,0.50382,239,0.58481,235,0.02455,7.89277e-24,"False","Not Significant",23.1027705526091,5,"Capped"
"89","TP53_MA0106.3","TP53","MA0106.3","C_TP53",4494,0.52632,197,0.57517,194,0.07312,1.5713e-74,"False","Up_CD8_Good",73.8037408894946,5,"Capped"
"90","GMEB2_MA0862.1","GMEB2","MA0862.1","C_GMEB2",953,0.90607,174,0.95231,177,0.09908,6.14498e-56,"True","Up_CD8_Good",55.2114795262688,5,"Capped"
"91","MTF1_MA0863.1","MTF1","MA0863.1","C_MTF1",5042,0.67111,388,0.7907,467,-0.01647,9.03604e-19,"False","Not Significant",18.0440218552483,5,"Capped"
"92","E2F1_MA0024.3","E2F1","MA0024.3","C_E2F4",1450,0.95639,229,1.09837,273,-0.02701,8.14535e-16,"False","Not Significant",15.089090249624,5,"Capped"
"93","SOX21_MA0866.1","SOX21","MA0866.1","C_Sox21b",9598,0.39291,211,0.44189,195,0.06488,9.88077e-82,"False","Up_CD8_Good",81.0052092098941,5,"Capped"
"94","TFAP2A_MA0872.1","TFAP2A","MA0872.1","C_TFAP2C",8388,0.84647,966,1.00704,1136,-0.06643,8.59217e-81,"True","Up_CD8_Poor",80.0658971388452,5,"Capped"
"95","ZNF24_MA1124.1","ZNF24","MA1124.1","C_ZNF24",12360,0.38605,214,0.44937,250,0.05199,1.57331e-81,"False","Up_CD8_Good",80.8031856969413,5,"Capped"
"96","ZSCAN4_MA1155.1","ZSCAN4","MA1155.1","C_ZSCAN4",11465,0.51796,470,0.62184,526,-0.01174,5.06901e-27,"False","Not Significant",26.2950768520118,5,"Capped"
"97","FOSBJUN_MA1127.1","FOSB::JUN","MA1127.1","C_JDP2",4166,0.86251,786,0.9225,824,0.08586,3.02847e-75,"False","Up_CD8_Good",74.5187767240971,5,"Capped"
"98","FOSL1JUN_MA1129.1","FOSL1::JUN","MA1129.1","C_JDP2",2926,0.93761,637,0.98861,664,0.09837,4.22453e-77,"True","Up_CD8_Good",76.3742216014505,5,"Capped"
"99","FOSBJUNB_MA1136.1","FOSB::JUNB","MA1136.1","C_JDP2",3253,0.96182,729,1.01774,760,0.08851,8.41224e-72,"False","Up_CD8_Good",71.0750883454497,5,"Capped"
"100","IRF5_MA1420.1","IRF5","MA1420.1","C_IRF5",6099,0.5808,319,0.66603,385,0.02553,3.96491e-35,"False","Not Significant",34.4017666663406,5,"Capped"
"101","TCF7L1_MA1421.1","TCF7L1","MA1421.1","C_TCF7L1",15314,0.44766,396,0.51518,417,0.03576,1.82108e-63,"False","Not Significant",62.73967097524,5,"Capped"
"102","ATOH7_MA1468.1","ATOH7","MA1468.1","C_OLIG1",5208,0.42794,108,0.49028,110,0.0381,3.20579e-50,"False","Not Significant",49.4940649301504,5,"Capped"
"103","FERD3L_MA1485.1","FERD3L","MA1485.1","C_FERD3L",7932,0.68029,607,0.81483,752,-0.044,7.85853e-63,"False","Not Significant",62.1046586845706,5,"Capped"
"104","FOXN3_MA1489.1","FOXN3","MA1489.1","C_FoxL2",8626,0.38277,160,0.45147,180,0.0371,2.82808e-57,"False","Not Significant",56.5485083094907,5,"Capped"
"105","HES6_MA1493.1","HES6","MA1493.1","C_HES6",4312,0.69862,423,0.79376,446,0.01357,1.14165e-16,"False","Not Significant",15.9424670190029,5,"Capped"
"106","IRF6_MA1509.1","IRF6","MA1509.1","C_IRF6",2745,0.69567,200,0.80252,226,0.01212,3.26301e-09,"False","Not Significant",8.48638159524732,5,"Capped"
"107","NR2F1_MA1538.1","NR2F1","MA1538.1","C_NR2F1",4678,0.55748,194,0.69957,239,-0.06846,7.2461e-64,"True","Up_CD8_Poor",63.1398956767673,5,"Capped"
"108","NR2F6_MA1539.1","NR2F6","MA1539.1","C_NR2F1",4485,0.54601,187,0.69885,230,-0.08535,8.21537e-76,"True","Up_CD8_Poor",75.0853728722362,5,"Capped"
"109","RXRB_MA1555.1","RXRB","MA1555.1","C_RXRG",5329,0.611,327,0.7291,382,-0.01031,1.76462e-09,"False","Not Significant",8.75334880283772,5,"Capped"
"110","RXRG_MA1556.1","RXRG","MA1556.1","C_RXRG",6060,0.666,478,0.77004,542,0.01462,5.99268e-16,"False","Not Significant",15.2223789123493,5,"Capped"
"111","SMAD5_MA1557.1","SMAD5","MA1557.1","C_SMAD3",1964,0.5344,90,0.64112,105,-0.01577,3.14604e-13,"False","Not Significant",12.5022357598854,5,"Capped"
"112","TFAP4_MA1570.1","TFAP4","MA1570.1","C_TFAP4",3848,0.3991,80,0.47606,98,0.03287,1.44908e-37,"False","Not Significant",36.8389076375796,5,"Capped"
"113","TGIF2LX_MA1571.1","TGIF2LX","MA1571.1","C_PKNOX2",4806,0.49038,184,0.61518,209,-0.05019,1.7434e-55,"False","Not Significant",54.7586029583504,5,"Capped"
"114","TGIF2LY_MA1572.1","TGIF2LY","MA1572.1","C_PKNOX2",4501,0.4951,171,0.61005,195,-0.03579,5.07773e-48,"False","Not Significant",47.2943303957482,5,"Capped"
"115","ZBTB32_MA1580.1","ZBTB32","MA1580.1","C_ZBTB32",6193,0.40021,104,0.46525,131,0.04878,1.83313e-60,"False","Not Significant",59.7368067351029,5,"Capped"
"116","ZNF135_MA1587.1","ZNF135","MA1587.1","C_ZNF460",33222,0.49078,1268,0.61244,1484,-0.03734,3.65219e-83,"False","Not Significant",82.4374466369961,5,"Capped"
"117","ZNF136_MA1588.1","ZNF136","MA1588.1","C_ZNF136",12336,0.36942,192,0.44546,218,0.02112,1.34256e-42,"False","Not Significant",41.8720662962529,5,"Capped"
"118","ZNF382_MA1594.1","ZNF382","MA1594.1","C_ZNF382",8162,0.45774,259,0.56391,313,-0.01747,1.82292e-24,"False","Not Significant",23.7392323902155,5,"Capped"
"119","ZNF460_MA1596.1","ZNF460","MA1596.1","C_ZNF460",48061,0.73229,4467,0.87463,5432,-0.04532,2.24081e-101,"False","Not Significant",100.649594966066,5,"Capped"
"120","ZNF528_MA1597.1","ZNF528","MA1597.1","C_ZNF528",12712,0.54439,564,0.64776,666,-0.00433,1.38938e-06,"False","Not Significant",5.85717895704663,5,"Capped"
"121","HOXA5_MA0158.2","HOXA5","MA0158.2","C_HOXD3",2889,0.39612,62,0.46528,73,0.04301,1.81344e-44,"False","Not Significant",43.7414968090386,5,"Capped"
"122","HOXD3_MA0912.2","HOXD3","MA0912.2","C_HOXD3",4645,0.39603,89,0.45392,98,0.06088,1.67136e-62,"False","Up_CD8_Good",61.7769299958431,5,"Capped"
"123","NEUROG1_MA0623.2","NEUROG1","MA0623.2","C_OLIG1",3130,0.41389,53,0.45808,49,0.05758,1.83553e-58,"False","Up_CD8_Good",57.7362385129699,5,"Capped"
"124","ZNF707_MA1715.1","ZNF707","MA1715.1","C_ZNF707",13453,0.65706,1024,0.78748,1178,-0.04206,2.1976e-78,"False","Not Significant",77.6580513535875,5,"Capped"
"125","ZNF8_MA1718.1","ZNF8","MA1718.1","C_ZNF8",8771,0.39024,161,0.41312,149,0.11794,1.18686e-110,"True","Up_CD8_Good",109.925600506667,5,"Capped"
"126","ELK1HOXA1_MA1931.1","ELK1::HOXA1","MA1931.1","C_ELK1::HOXA1",5907,0.92271,1094,1.02192,1235,0.02624,8.22791e-39,"False","Not Significant",38.0847104674291,5,"Capped"
"127","HOXB2ELK1_MA1957.1","HOXB2::ELK1","MA1957.1","C_HOXB2::ELK1",5478,0.83035,802,0.91866,897,0.04384,1.46326e-58,"False","Not Significant",57.8346784992111,5,"Capped"
"128","POU2F1SOX2_MA1962.1","POU2F1::SOX2","MA1962.1","C_POU2F1::SOX2",16190,0.34115,161,0.38119,158,0.08519,4.66703e-103,"False","Up_CD8_Good",102.33095940743,5,"Capped"
"129","ZFP14_MA1972.1","ZFP14","MA1972.1","C_ZFP14",23423,0.69304,1789,0.83442,2209,-0.04854,5.51066e-82,"False","Not Significant",81.2587963835089,5,"Capped"
"130","ZNF418_MA1980.1","ZNF418","MA1980.1","C_ZNF418",16360,0.44911,417,0.53177,494,0.01959,2.35125e-38,"False","Not Significant",37.6287011914416,5,"Capped"
"131","ZNF669_MA1985.1","ZNF669","MA1985.1","C_ZNF669",4610,0.85703,502,1.0024,601,-0.04578,2.82955e-55,"False","Not Significant",54.5482826273932,5,"Capped"
"132","SP1_MA0079.5","SP1","MA0079.5","C_KLF5",43243,1.15977,10179,1.31264,11720,-0.02997,9.61673e-82,"False","Not Significant",81.0169725770657,5,"Capped"
"133","RFX1_MA0509.3","RFX1","MA0509.3","C_RFX5",3855,0.78552,544,0.88992,635,0.01898,4.47008e-18,"False","Not Significant",17.3496847043294,5,"Capped"
"134","SP2_MA0516.3","SP2","MA0516.3","C_KLF5",42275,1.25752,11880,1.40367,13470,-0.01498,8.0314e-51,"False","Not Significant",50.0952087437277,5,"Capped"
"135","BHLHA15_MA0607.2","BHLHA15","MA0607.2","C_OLIG1",2940,0.42485,56,0.46154,48,0.0706,1.74074e-57,"False","Up_CD8_Good",56.7592660910295,5,"Capped"
"136","SP4_MA0685.2","SP4","MA0685.2","C_KLF5",42641,1.14695,10405,1.29256,11779,-0.02248,1.59854e-74,"False","Not Significant",73.7962764919779,5,"Capped"
"137","KLF14_MA0740.2","KLF14","MA0740.2","C_KLF5",41237,1.17316,10439,1.3179,11821,-0.02114,1.51343e-71,"False","Not Significant",70.820037661471,5,"Capped"
"138","KLF12_MA0742.2","KLF12","MA0742.2","C_KLF5",36734,1.26287,10485,1.40766,11792,-0.01487,1.59209e-49,"False","Not Significant",48.7980323854686,5,"Capped"
"139","RFX3_MA0798.3","RFX3","MA0798.3","C_RFX5",4007,0.82846,618,0.94166,709,0.00455,0.00087644,"False","Not Significant",3.05727780981643,3.05727780981643,"Not Capped"
"140","BHLHE22_MA0818.2","BHLHE22","MA0818.2","C_OLIG1",2546,0.42337,46,0.45555,41,0.07634,9.82644e-59,"False","Up_CD8_Good",58.0076037932957,5,"Capped"
"141","HES5_MA0821.2","HES5","MA0821.2","C_BHLHE40",2472,0.86611,334,0.99292,400,-0.01233,3.98796e-10,"False","Not Significant",9.39924920639509,5,"Capped"
"142","TFE3_MA0831.3","TFE3","MA0831.3","C_ARNT2",3106,1.02783,749,1.10431,774,0.04512,4.03725e-46,"False","Not Significant",45.3939143567926,5,"Capped"
"143","CDX1_MA0878.3","CDX1","MA0878.3","C_HOXA10",11180,0.41963,258,0.4475,247,0.10444,5.64284e-107,"True","Up_CD8_Good",106.248502263765,5,"Capped"
"144","DUXA_MA0884.2","DUXA","MA0884.2","C_DUXA",5135,0.34549,56,0.39794,62,0.06478,1.3273e-68,"False","Up_CD8_Good",67.8770309056062,5,"Capped"
"145","KLF10_MA1511.2","KLF10","MA1511.2","C_KLF5",40442,1.21426,10737,1.36177,12161,-0.02054,3.67543e-62,"False","Not Significant",61.4346918441437,5,"Capped"
"146","NR1D2_MA1532.2","NR1D2","MA1532.2","C_NR1D1",7977,0.49918,294,0.59761,326,-0.00246,0.155571,"False","Not Significant",0.808071356663661,0.808071356663661,"Not Capped"
"147","PITX2_MA1547.2","PITX2","MA1547.2","C_unc-30",6721,0.48864,248,0.52405,241,0.08337,8.87251e-82,"False","Up_CD8_Good",81.0519535024969,5,"Capped"
"148","SOX18_MA1563.2","SOX18","MA1563.2","C_SOX18",8397,0.43437,238,0.47449,232,0.08477,6.27602e-86,"False","Up_CD8_Good",85.2023156811023,5,"Capped"
