"","output_prefix","name","motif_id","cluster","total_tfbs","CD8_Good_mean_score","CD8_Good_bound","CD8_Poor_mean_score","CD8_Poor_bound","CD8_Good_CD8_Poor_change","CD8_Good_CD8_Poor_pvalue","CD8_Good_CD8_Poor_highlighted","Significance","negLog10Pval","negLog10Pval_capped","Capped"
"595","SRY_MA0084.2","SRY","MA0084.2","C_SOX18",7489,0.36436,110,0.41218,119,0.07707,3.99186e-88,"False","Up_CD8_Good",87.3988246984201,5,"Capped"
"596","STAT1_MA0137.4","STAT1","MA0137.4","C_Stat4",12479,0.53867,615,0.62693,704,0.01371,4.36664e-30,"False","Not Significant",29.359852611252,5,"Capped"
"597","STAT1STAT2_MA0517.2","STAT1::STAT2","MA0517.2","C_STAT1::STAT2",29039,0.45022,770,0.52521,892,0.03163,6.6833e-80,"False","Not Significant",79.1750090438261,5,"Capped"
"598","STAT3_MA0144.3","STAT3","MA0144.3","C_Stat4",14690,0.48883,599,0.58338,701,-0.00074,0.421231,"False","Not Significant",0.375479674918827,0.375479674918827,"Not Capped"
"599","TAL1TCF3_MA0091.2","TAL1::TCF3","MA0091.2","C_TAL1::TCF3",7256,0.43626,176,0.52593,186,0.00999,2.58809e-14,"False","Not Significant",13.5870206252894,5,"Capped"
"600","TBR1_MA0802.2","TBR1","MA0802.2","C_TBX4",8209,0.45609,249,0.54696,281,0.00725,1.81198e-08,"False","Not Significant",7.74184660022299,5,"Capped"
"601","TBX18_MA1565.2","TBX18","MA1565.2","C_TBX4",12752,0.50973,483,0.61336,550,-0.00883,6.73495e-17,"False","Not Significant",16.1716656241139,5,"Capped"
"602","TBX19_MA0804.2","TBX19","MA0804.2","C_TBX19",4005,0.4416,86,0.50835,95,0.05225,7.1542e-57,"False","Up_CD8_Good",56.1454389230517,5,"Capped"
"603","TBX2_MA0688.2","TBX2","MA0688.2","C_TBX4",8642,0.46428,269,0.55776,308,0.00357,0.015582,"False","Not Significant",1.80737679998705,1.80737679998705,"Not Capped"
"604","TCF12_MA1648.2","TCF12","MA1648.2","C_ZEB1",12946,0.62009,722,0.76002,860,-0.05277,4.39239e-75,"False","Up_CD8_Poor",74.3572991058694,5,"Capped"
"605","TCF21_MA1568.2","TCF21","MA1568.2","C_OLIG1",3282,0.43223,70,0.49289,76,0.03578,4.19684e-37,"False","Not Significant",36.3770775874818,5,"Capped"
"606","TCF4_MA0830.3","TCF4","MA0830.3","C_ZEB1",17183,0.58713,861,0.71692,1019,-0.04281,4.23571e-75,"False","Not Significant",74.3730737817353,5,"Capped"
"607","TCF7_MA0769.3","TCF7","MA0769.3","C_TCF7L2",10706,0.43251,257,0.5109,307,0.02313,3.44123e-45,"False","Not Significant",44.4632862996567,5,"Capped"
"608","TCF7L2_MA0523.2","TCF7L2","MA0523.2","C_TCF7L2",13247,0.42469,277,0.50514,344,0.0212,1.48662e-41,"False","Not Significant",40.8278000287837,5,"Capped"
"609","TCFL5_MA0632.3","TCFL5","MA0632.3","C_TCFL5",4274,1.33407,1340,1.45746,1485,0.02063,5.73727e-26,"False","Not Significant",25.2412947114299,5,"Capped"
"610","TEAD1_MA0090.4","TEAD1","MA0090.4","C_TEAD4",10294,0.40564,210,0.48268,226,0.02446,9.66823e-45,"False","Not Significant",44.0146530265988,5,"Capped"
"611","TEAD2_MA1121.2","TEAD2","MA1121.2","C_TEAD4",4126,0.43728,99,0.50986,123,0.03486,1.2052e-40,"False","Not Significant",39.9189408769987,5,"Capped"
"612","TEAD4_MA0809.3","TEAD4","MA0809.3","C_TEAD4",9235,0.39448,160,0.47176,182,0.02119,1.9508e-39,"False","Not Significant",38.7097872530805,5,"Capped"
"613","TFAP2A_MA0810.2","TFAP2A","MA0810.2","C_TFAP2A",15007,0.91386,1951,1.07311,2340,-0.0521,1.17467e-78,"False","Up_CD8_Poor",77.9300841225907,5,"Capped"
"614","TFAP2A_MA0003.5","TFAP2A","MA0003.5","C_TFAP2C",15324,0.7752,1445,0.91149,1718,-0.02934,1.43117e-64,"False","Not Significant",63.8443087759699,5,"Capped"
